,actors,number_of_movies,average_revenue,average_revenue (shifted)
45,Drewe Henley,2,915727640.0,1831455280
46,Jack Klaff,2,485355404.5,970710809
47,William Hootkins,9,187041016.0,1683369144
48,Angus MacInnes,13,186046338.5,2418602401
49,Jeremy Sinden,1,775398007.0,775398007
50,Graham Ashley,1,775398007.0,775398007
51,David Ankrum,2,915727640.0,1831455280
52,Mark Austin,1,775398007.0,775398007
53,Scott Beach,4,352242904.0,1408971616
54,Lightning Bear,2,656899003.5,1313798007
